img_id,img_name,question,answer,q_lang,location,modality,answer_type,base_type,content_type,triple,qid
0,xmlab0/source.jpg,What modality is used to take this image?,MRI,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",9835
0,xmlab0/source.jpg,Which part of the body does this image belong to?,Abdomen,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",9836
0,xmlab0/source.jpg,What is the mr weighting in this image?,T2,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",9837
0,xmlab0/source.jpg,Are there abnormalities in this image?,No,en,Abdomen,MRI,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",9838
0,xmlab0/source.jpg,What is the largest organ in the picture?,Liver,en,Abdomen,MRI,OPEN,vqa,Size,"['vhead', '_', '_']",9839
0,xmlab0/source.jpg,Does the picture contain liver?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9840
0,xmlab0/source.jpg,Does the picture contain kidney?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9841
0,xmlab0/source.jpg,Does the picture contain spleen?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9842
0,xmlab0/source.jpg,What diseases are included in the picture?,Unknown,en,Abdomen,MRI,OPEN,vqa,Abnormality,"['vhead', '_', '_']",9843
0,xmlab0/source.jpg,Where is the liver?,Right,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",9844
10,xmlab10/source.jpg,What modality is used to take this image?,MRI,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",9845
10,xmlab10/source.jpg,Which part of the body does this image belong to?,Abdomen,en,Abdomen,MRI,OPEN,vqa,Position,"['vhead', '_', '_']",9846
10,xmlab10/source.jpg,What is the mr weighting in this image?,T2,en,Abdomen,MRI,OPEN,vqa,Modality,"['vhead', '_', '_']",9847
10,xmlab10/source.jpg,How many kidneys in this image?,2,en,Abdomen,MRI,OPEN,vqa,Quantity,"['vhead', '_', '_']",9848
10,xmlab10/source.jpg,Are/Is the kidney normal in this image?,Yes,en,Abdomen,MRI,CLOSED,vqa,Abnormality,"['vhead', '_', '_']",9849
10,xmlab10/source.jpg,Does the picture contain liver?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9850
10,xmlab10/source.jpg,Does the picture contain kidney?,Yes,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9851
10,xmlab10/source.jpg,Does the picture contain spleen?,No,en,Abdomen,MRI,CLOSED,vqa,Organ,"['vhead', '_', '_']",9852
